f,u,l,l
s,h,o,r,t
0,24,2
0,25,2
0,2,26
0,2,27
0,24,3
0,25,3
0,26,3
0,27,3
0,4,22
0,4,23
0,4,28
0,4,29
0,5,22
0,5,23
0,28,5
0,29,5
0,20,6
0,21,6
0,6,30
0,6,31
0,20,7
0,21,7
0,30,7
0,31,7
0,8,18
0,8,19
0,8,32
0,8,33
0,9,18
0,9,19
0,9,32
0,9,33
0,16,10
0,17,10
0,10,34
0,10,35
0,16,11
0,17,11
0,34,11
0,35,11
0,12,14
0,12,15
0,12,36
0,12,37
0,13,14
0,13,15
0,36,13
0,37,13
0,38,14
0,14,39
0,38,15
0,39,15
0,16,40
0,16,41
0,17,40
0,17,41
0,18,42
0,18,43
0,42,19
0,43,19
0,20,44
0,20,45
0,44,21
0,45,21
0,46,22
0,22,47
0,46,23
0,47,23
0,24,48
0,24,49
0,25,48
0,25,49
24,1,2
1,2,25
1,2,26
1,2,27
24,1,3
1,3,25
1,26,3
27,1,3
1,4,22
1,4,23
1,4,28
1,4,29
1,5,22
1,5,23
1,28,5
1,29,5
1,20,6
1,21,6
1,6,30
1,6,31
1,20,7
1,21,7
1,30,7
1,31,7
8,1,18
8,1,19
8,1,32
8,1,33
1,18,9
1,19,9
32,1,9
1,9,33
16,1,10
1,10,17
1,10,34
1,10,35
16,1,11
1,11,17
1,34,11
1,11,35
1,12,14
1,12,15
1,12,36
1,12,37
1,13,14
1,13,15
1,36,13
1,37,13
38,1,14
1,14,39
1,38,15
1,39,15
16,1,40
16,1,41
40,1,17
1,17,41
1,18,42
1,18,43
1,42,19
1,19,43
1,20,44
1,20,45
1,44,21
1,45,21
46,1,22
1,22,47
1,46,23
1,47,23
24,1,48
24,1,49
48,1,25
1,25,49
24,2,4
25,2,4
2,26,4
2,27,4
24,2,5
25,2,5
2,26,5
2,27,5
2,6,22
2,6,23
2,28,6
2,29,6
2,22,7
2,23,7
2,28,7
2,29,7
8,2,20
8,2,21
8,2,30
8,2,31
9,2,20
9,2,21
9,2,30
9,2,31
18,2,10
19,2,10
32,2,10
33,2,10
18,2,11
19,2,11
32,2,11
33,2,11
16,2,12
17,2,12
2,12,34
2,35,12
16,2,13
17,2,13
2,34,13
2,35,13
2,14,15
2,36,14
2,37,14
2,36,15
2,37,15
16,2,38
16,2,39
17,2,38
17,2,39
40,2,18
41,2,18
40,2,19
41,2,19
2,20,42
2,43,20
2,42,21
2,43,21
2,44,22
2,45,22
2,44,23
2,45,23
24,2,46
24,2,47
25,2,46
25,2,47
2,26,50
51,2,26
2,27,50
51,2,27
24,3,4
25,3,4
26,3,4
27,3,4
24,3,5
25,3,5
26,3,5
27,3,5
3,6,22
3,6,23
3,28,6
3,29,6
3,22,7
3,23,7
3,28,7
3,29,7
8,3,20
8,3,21
8,3,30
8,3,31
9,3,20
9,3,21
9,3,30
9,3,31
18,10,3
19,10,3
32,10,3
33,10,3
11,18,3
11,19,3
11,32,3
11,33,3
16,3,12
17,3,12
34,3,12
35,3,12
16,3,13
17,3,13
34,3,13
35,3,13
3,14,15
3,36,14
3,37,14
3,36,15
3,37,15
16,3,38
16,3,39
17,3,38
17,3,39
40,18,3
41,18,3
19,40,3
19,41,3
42,3,20
43,3,20
42,3,21
43,3,21
3,44,22
3,45,22
3,44,23
3,45,23
24,3,46
24,3,47
25,3,46
25,3,47
26,3,50
51,26,3
27,50,3
27,51,3
24,4,6
25,4,6
26,4,6
27,4,6
24,4,7
25,4,7
26,4,7
27,4,7
8,4,22
8,4,23
8,4,28
8,4,29
9,4,22
9,4,23
9,4,28
9,4,29
10,4,20
10,4,21
10,4,30
10,4,31
11,4,20
11,4,21
11,4,30
11,4,31
18,4,12
19,4,12
32,4,12
33,4,12
18,4,13
19,4,13
32,4,13
33,4,13
16,4,14
17,4,14
34,4,14
35,4,14
16,4,15
17,4,15
34,4,15
35,4,15
16,4,36
16,4,37
17,4,36
17,4,37
18,4,38
18,4,39
19,4,38
19,4,39
40,4,20
41,4,20
40,4,21
41,4,21
42,4,22
43,4,22
42,4,23
43,4,23
24,4,44
24,4,45
25,4,44
25,4,45
48,26,4
49,26,4
48,27,4
49,27,4
50,4,28
51,4,28
50,4,29
51,4,29
24,5,6
25,5,6
26,5,6
27,5,6
24,5,7
25,5,7
26,5,7
27,5,7
8,5,22
8,5,23
8,28,5
8,29,5
9,5,22
9,5,23
9,28,5
9,29,5
10,20,5
10,21,5
10,5,30
10,5,31
11,20,5
