l,i,k,e
l,o,n,g
2,3,20,13
21,2,3,13
2,3,14,22
2,3,14,23
2,3,22,15
2,3,23,15
16,24,2,3
16,25,2,3
24,17,2,3
17,2,3,25
2,4,5,14
2,4,5,15
16,2,4,6
17,2,4,6
16,2,4,7
17,2,4,7
8,2,18,4
8,2,19,4
9,2,18,4
9,2,19,4
2,10,4,20
2,10,4,21
2,11,4,20
2,11,4,21
2,4,12,22
2,4,12,23
2,4,13,22
2,4,13,23
24,2,4,14
25,2,4,14
24,2,4,15
25,2,4,15
16,2,5,6
17,2,5,6
16,2,5,7
17,2,5,7
8,2,18,5
8,2,19,5
9,2,18,5
9,2,19,5
2,10,20,5
21,2,10,5
2,11,20,5
21,2,11,5
2,12,5,22
2,12,5,23
2,13,5,22
2,13,5,23
24,2,5,14
25,2,5,14
24,2,5,15
25,2,5,15
2,18,6,7
2,19,6,7
8,2,20,6
8,2,21,6
9,2,20,6
9,2,21,6
2,10,6,22
2,10,6,23
2,11,6,22
2,11,6,23
24,2,12,6
25,2,12,6
24,2,13,6
25,2,13,6
8,2,20,7
8,2,21,7
9,2,20,7
9,2,21,7
2,10,22,7
2,10,23,7
2,11,22,7
2,11,23,7
24,2,12,7
25,2,12,7
24,2,13,7
25,2,13,7
8,9,2,22
8,9,2,23
8,24,2,10
8,25,2,10
8,24,2,11
8,25,2,11
24,9,2,10
9,2,10,25
24,9,2,11
9,2,11,25
3,4,5,14
3,4,5,15
16,3,4,6
17,3,4,6
16,3,4,7
17,3,4,7
8,18,3,4
8,19,3,4
9,18,3,4
19,9,3,4
10,3,4,20
10,3,4,21
11,3,4,20
11,3,4,21
3,4,12,22
3,4,12,23
3,4,13,22
3,4,13,23
24,3,4,14
25,3,4,14
24,3,4,15
25,3,4,15
16,3,5,6
17,3,5,6
16,3,5,7
17,3,5,7
8,18,3,5
8,19,3,5
9,18,3,5
19,9,3,5
10,3,20,5
21,10,3,5
11,3,20,5
11,21,3,5
3,12,5,22
3,12,5,23
13,3,5,22
13,3,5,23
24,3,5,14
25,3,5,14
24,3,5,15
25,3,5,15
18,3,6,7
19,3,6,7
8,3,20,6
8,3,21,6
9,3,20,6
9,3,21,6
10,3,6,22
10,3,6,23
11,3,6,22
11,3,6,23
24,3,12,6
25,3,12,6
24,3,13,6
25,3,13,6
8,3,20,7
8,3,21,7
9,3,20,7
9,3,21,7
10,3,22,7
10,3,23,7
11,3,22,7
11,3,23,7
24,3,12,7
25,3,12,7
24,3,13,7
25,3,13,7
8,9,3,22
8,9,3,23
8,24,10,3
8,25,10,3
8,11,3,24
8,11,3,25
24,9,10,3
9,10,3,25
11,9,3,24
11,9,3,25
18,4,5,6
19,4,5,6
18,4,5,7
19,4,5,7
8,20,4,5
8,21,4,5
9,20,4,5
9,21,4,5
10,4,5,22
10,4,5,23
11,4,5,22
11,4,5,23
24,12,4,5
25,12,4,5
24,13,4,5
25,13,4,5
4,20,6,7
4,21,6,7
8,4,6,22
8,4,6,23
9,4,6,22
9,4,6,23
24,10,4,6
25,10,4,6
24,11,4,6
25,11,4,6
8,4,22,7
8,4,23,7
9,4,22,7
9,4,23,7
24,10,4,7
25,10,4,7
24,11,4,7
25,11,4,7
8,9,4,24
8,9,4,25
20,5,6,7
21,5,6,7
8,5,6,22
8,5,6,23
9,5,6,22
9,5,6,23
24,10,5,6
25,10,5,6
24,11,5,6
25,11,5,6
8,5,22,7
8,23,5,7
9,5,22,7
9,23,5,7
24,10,5,7
25,10,5,7
24,11,5,7
25,11,5,7
8,9,5,24
8,9,5,25
8,24,6,7
8,25,6,7
24,9,6,7
9,25,6,7
