s,a,m,p,l,e
l,o,n,g
0,1,2,6
0,1,2,7
0,1,3,6
0,1,3,7
0,1,4,8
0,1,4,9
0,1,5,8
0,1,5,9
0,8,2,3
0,9,2,3
8,1,2,3
1,2,3,9
