s,i,n,g,l,e
s,h,o,r,t
0,1,2
0,2,3
0,3,4
0,4,5
0,5,6
0,6,7
0,8,7
0,8,9
0,9,10
0,10,11
0,11,12
1,2,4
1,3,5
1,4,6
1,5,7
8,1,6
1,9,7
8,1,10
1,11,9
1,10,12
2,3,6
2,4,7
8,2,5
9,2,6
2,10,7
8,2,11
9,2,12
8,3,4
9,3,5
10,3,6
11,3,7
8,3,12
10,4,5
11,4,6
4,12,7
12,5,6
