o,p,p
l,o,n,g
8,2,10,21
8,25,2,10
8,2,11,20
8,2,19,12
8,17,2,13
8,16,2,14
9,2,10,22
24,9,2,10
9,2,11,21
9,2,11,25
9,2,12,20
9,2,18,13
9,2,14,17
16,9,2,15
11,2,10,22
11,24,2,10
2,10,12,21
25,2,10,12
19,2,10,13
18,2,10,14
17,2,10,15
2,11,12,22
24,2,11,12
2,11,20,13
19,2,11,14
18,2,11,15
16,17,2,11
2,21,12,13
25,2,12,13
2,12,20,14
2,19,12,15
16,2,18,12
2,13,14,22
24,2,13,14
2,21,13,15
25,2,13,15
16,2,20,13
17,2,19,13
2,22,14,15
24,2,14,15
16,2,21,14
16,25,2,14
17,2,20,14
19,2,18,14
16,2,22,15
16,24,2,15
17,2,21,15
17,2,25,15
2,18,20,15
16,17,2,22
16,17,2,24
16,2,18,21
16,25,2,18
16,2,19,20
17,2,18,22
24,17,2,18
17,2,19,21
17,2,19,25
19,2,18,22
19,24,2,18
2,18,20,21
25,2,18,20
2,19,20,22
24,2,19,20
25,2,19,21
2,20,21,22
24,2,20,21
25,2,20,22
24,2,21,22
25,2,21,23
24,2,22,23
24,25,2,22
19,3,4,5
21,3,4,5
3,4,5,23
18,3,4,6
3,4,20,6
24,3,4,6
17,3,4,7
19,3,4,7
25,3,4,7
8,16,3,4
8,18,3,4
9,3,4,15
9,3,4,17
10,3,4,14
16,10,3,4
11,3,4,13
11,3,4,15
3,4,12,14
17,3,5,6
21,3,5,6
3,5,6,23
16,3,5,7
3,20,5,7
24,3,5,7
8,3,5,15
8,19,3,5
8,25,3,5
9,3,5,14
9,18,3,5
13,10,3,5
17,10,3,5
11,16,3,5
3,12,5,15
3,15,6,7
3,21,6,7
3,23,6,7
8,3,6,14
8,3,20,6
8,24,3,6
9,3,13,6
19,9,3,6
9,3,6,25
18,10,3,6
11,3,12,6
11,17,3,6
16,3,12,6
3,13,6,14
8,3,13,7
8,3,21,7
8,3,23,7
9,3,20,7
24,9,3,7
10,3,12,7
19,10,3,7
25,10,3,7
11,18,3,7
17,3,12,7
3,15,13,7
8,9,3,12
8,9,3,21
8,9,3,23
8,11,10,3
8,10,3,20
8,24,10,3
8,11,3,19
8,11,3,25
8,18,3,12
8,16,3,13
8,3,14,15
9,10,3,21
9,10,3,23
11,9,3,20
11,9,3,24
19,9,3,12
9,3,12,25
9,3,13,17
16,9,3,14
11,10,3,21
11,10,3,23
10,3,12,20
24,10,3,12
18,10,3,13
17,10,3,14
16,10,3,15
11,3,12,21
11,3,12,23
11,19,3,13
11,25,3,13
11,18,3,14
11,17,3,15
20,3,12,13
24,3,12,13
19,3,12,14
25,3,12,14
18,3,12,15
16,17,3,12
21,3,13,14
3,13,14,23
3,20,13,15
24,3,13,15
16,19,3,13
16,25,3,13
17,18,3,13
3,21,14,15
3,23,14,15
16,3,20,14
16,24,3,14
19,17,3,14
17,3,14,25
16,3,21,15
16,3,23,15
17,3,20,15
24,17,3,15
19,18,3,15
25,18,3,15
16,17,3,21
16,17,3,23
16,18,3,20
16,24,18,3
16,19,3,25
17,18,3,21
17,18,3,23
19,17,3,20
19,17,3,24
17,3,20,25
19,18,3,21
19,18,3,23
24,18,3,20
25,18,3,21
19,3,20,21
19,3,20,23
19,24,3,21
19,25,3,22
3,20,21,23
24,3,20,22
25,3,20,23
3,21,22,23
24,3,21,23
24,25,3,21
24,25,3,23
18,4,5,6
20,4,5,6
4,5,6,22
17,4,5,7
19,4,5,7
23,4,5,7
8,16,4,5
8,18,4,5
8,24,4,5
9,4,5,15
9,4,5,17
9,4,5,25
10,4,5,14
16,10,4,5
13,11,4,5
11,4,5,15
12,4,5,14
16,4,6,7
4,20,6,7
4,22,6,7
8,4,6,15
8,19,4,6
8,4,6,23
9,4,6,14
9,18,4,6
24,9,4,6
10,4,13,6
17,10,4,6
25,10,4,6
16,11,4,6
4,12,6,15
8,4,14,7
8,4,20,7
8,4,22,7
9,4,13,7
9,19,4,7
9,4,23,7
10,18,4,7
24,10,4,7
11,4,12,7
17,11,4,7
25,11,4,7
16,4,12,7
4,13,14,7
8,9,4,20
8,9,4,22
8,10,4,12
8,10,19,4
8,10,4,23
8,18,11,4
8,24,11,4
8,17,4,12
8,25,4,12
8,4,13,15
9,10,11,4
9,10,4,20
9,10,4,22
19,9,11,4
9,11,4,23
9,18,4,12
24,9,4,12
16,9,4,13
9,4,14,15
10,11,4,20
10,11,4,22
10,19,4,12
10,4,12,23
17,10,4,13
25,10,4,13
16,10,4,14
20,11,4,12
11,4,12,22
18,11,4,13
24,11,4,13
17,11,4,14
25,11,4,14
16,11,4,15
13,19,4,12
13,4,12,23
18,4,12,14
24,4,12,14
17,4,12,15
25,4,12,15
20,4,13,14
4,13,14,22
19,4,13,15
23,4,13,15
16,18,4,13
16,24,4,13
17,4,13,25
4,20,14,15
4,22,14,15
16,19,4,14
16,4,14,23
17,18,4,14
