like
short_short
 0, 0, 0, 1
 1, 0, 0, 1
 2, 0, 0, 1
 3, 0, 0, 1
 4, 0, 0, 1
 5, 0, 0, 1
 6, 342/3289, 23940, 230230
 7, 77171/164450, 308684, 657800
 8, 1224668/1562275, 1224668, 1562275
 9, 1448884/1562275, 2897768, 3124550
10, 5195668/5311735, 5195668, 5311735
11, 3839669/3863080, 7679338, 7726160
12, 4821569/4828850, 9643138, 9657700
13, 2599343/2600150, 10397372, 10400600
14, 2414314/2414425, 9657256, 9657700
15, 1931533/1931540, 7726132, 7726160
16, 1, 5311735, 5311735
17, 1, 3124550, 3124550
18, 1, 1562275, 1562275
19, 1, 657800, 657800
20, 1, 230230, 230230
21, 1, 65780, 65780
22, 1, 14950, 14950
23, 1, 2600, 2600
24, 1, 325, 325
25, 1, 26, 26
26, 1, 1, 1
